Timestamp_Minutes,Pixel_Foot,Speed_Ft_Per_Sec,RH_X,RH_Y,RH_X_Delta,RH_Y_Delta,LH_X,LH_Y,LH_X_Delta,LH_Y_Delta,RF_X,RF_Y,RF_X_Delta,RF_Y_Delta,LF_X,LF_Y,LF_X_Delta,LF_Y_Delta,Img_Pos_X_px,Img_Pos_Y_px,Img_Width_px,Img_Height_px
0.3,62.66666667,0.0202,710,1619,0,0,731,1647,0,0,849,1939,0,0,760,1909,0,0,720,1555,144,394
0.35,62.66666667,0.0844,710,1619,0,0,731,1647,0,0,830,1920,-19,-19,760,1909,0,0,720,1555,144,394
0.5,62.66666667,0.0531,710,1619,0,0,731,1647,0,0,709,1817,-121,-103,760,1909,0,0,691,1536,190,470
0.55,62.66666667,0.1181,710,1619,0,0,622,1633,-109,-14,709,1817,0,0,760,1909,0,0,655,1548,166,408
0.6,62.66666667,0.0513,710,1619,0,0,622,1633,0,0,709,1817,0,0,545,1752,-215,-157,617,1586,226,391
0.65,62.66666667,0.0595,710,1619,0,0,508,1581,-114,-52,709,1817,0,0,545,1752,0,0,526,1493,226,348
0.6667,59.53333333,0.0781,653,1489,-57,-130,508,1581,0,0,709,1817,0,0,545,1752,0,0,506,1493,245,336
0.7,56.4,0.0318,653,1489,0,0,508,1581,0,0,712,1632,3,-185,545,1752,0,0,523,1469,218,358
0.75,56.4,0.0516,653,1489,0,0,443,1533,-65,-48,712,1632,0,0,545,1752,0,0,499,1440,238,305
0.7667,56.4,0.0211,653,1489,0,0,443,1533,0,0,581,1603,-131,-29,545,1752,0,0,444,1426,300,338
0.7833,56.4,0.0548,653,1489,0,0,443,1533,0,0,525,1606,-56,3,545,1752,0,0,442,1435,223,338
0.8167,56.4,0.0811,653,1489,0,0,443,1533,0,0,525,1606,0,0,414,1676,-131,-76,439,1421,221,336
0.8333,56.4,0.0207,427,1456,-226,-33,443,1533,0,0,525,1606,0,0,414,1676,0,0,401,1406,262,305
0.8333,53.26666667,0.0635,427,1456,0,0,443,1533,0,0,525,1606,0,0,430,1623,16,-53,396,1414,192,288
0.8667,53.26666667,0.0652,427,1456,0,0,457,1358,14,-175,525,1606,0,0,430,1623,0,0,413,1392,175,250
0.9333,53.26666667,0.0485,609,1388,182,-68,457,1358,0,0,539,1568,14,-38,430,1623,0,0,415,1320,132,322
0.9667,50,0.0422,609,1388,0,0,457,1358,0,0,539,1568,0,0,391,1488,-39,-135,437,1310,185,319
0.9833,50,0.0317,576,1268,-33,-120,457,1358,0,0,539,1568,0,0,391,1488,0,0,382,1284,238,314
1.0167,50,0.0383,576,1268,0,0,495,1269,38,-89,539,1568,0,0,391,1488,0,0,384,1260,204,329
1.0333,50,0.0629,576,1268,0,0,495,1269,0,0,539,1568,0,0,506,1458,115,-30,382,1267,199,326
1.0667,47.5,0.0288,576,1268,0,0,495,1269,0,0,611,1391,72,-177,506,1458,0,0,437,1272,144,324
1.1,47.5,0.0275,576,1268,0,0,551,1198,56,-71,611,1391,0,0,506,1458,0,0,485,1202,149,276
1.1167,45,0.0516,594,1187,18,-81,551,1198,0,0,611,1391,0,0,474,1442,-32,-16,494,1200,132,278
1.1667,45,0.0172,594,1187,0,0,551,1198,0,0,611,1391,0,0,501,1282,27,-160,468,1188,161,259
1.2,45,0.029,594,1187,0,0,521,1151,-30,-47,611,1391,0,0,501,1282,0,0,497,1152,127,252
1.2833,42.5,0,594,1187,0,0,540,1058,19,-93,611,1391,0,0,501,1282,0,0,494,1123,144,290
1.3,42.5,0,594,1187,0,0,540,1058,0,0,600,1292,0,0,501,1282,0,0,461,1061,182,286
1.3333,42.5,0.0499,594,1187,0,0,540,1058,0,0,600,1292,0,0,501,1282,0,0,494,1061,137,240
1.3833,40,0.0133,560,1025,-34,-162,523,1074,-17,16,585,1292,-15,0,540,1282,39,0,492,1051,134,250
1.4167,40,0.0139,560,1025,0,0,523,1074,0,0,617,1260,32,-32,540,1282,0,0,492,1025,108,281
1.45,40,0.0293,560,1025,0,0,523,1074,0,0,617,1260,0,0,560,1238,20,-44,497,1025,134,259
1.5667,40,0.0257,560,1025,0,0,479,973,-44,-101,617,1260,0,0,560,1238,0,0,509,998,132,274
