RH_X,RH_Y,RH_X_Delta,RH_Y_Delta,LH_X,LH_Y,LH_X_Delta,LH_Y_Delta,RF_X,RF_Y,RF_X_Delta,RF_Y_Delta,LF_X,LF_Y,LF_X_Delta,LF_Y_Delta,Pos_X_in,Pos_Y_in,Pos_X_px,Pos_Y_px,Width_in,Height_in,Width_px,Height_px
710,1619,0,0,731,1647,,,849,1939,,,760,1909,,,,,,,,,,
710,1619,0,0,731,1647,0,0,830,1920,-19,-19,760,1909,0,0,3,6.48,720,1555,0.6,1.64,144,394
710,1619,0,0,731,1647,0,0,709,1817,-121,-103,760,1909,0,0,2.88,6.4,691,1536,0.79,1.96,190,470
710,1619,0,0,622,1633,-109,-14,709,1817,0,0,760,1909,0,0,2.73,6.45,655,1548,0.69,1.7,166,408
710,1619,0,0,622,1633,0,0,709,1817,0,0,545,1752,-215,-157,2.57,6.61,617,1586,0.94,1.63,226,391
710,1619,0,0,508,1581,-114,-52,709,1817,0,0,545,1752,0,0,2.19,6.22,526,1493,0.94,1.45,226,348
653,1489,-57,-130,508,1581,0,0,709,1817,0,0,545,1752,0,0,2.11,6.22,506,1493,1.02,1.4,245,336
653,1489,0,0,508,1581,0,0,712,1632,3,-185,545,1752,0,0,2.18,6.12,523,1469,0.91,1.49,218,358
653,1489,0,0,443,1533,-65,-48,712,1632,0,0,545,1752,0,0,2.08,6,499,1440,0.99,1.27,238,305
653,1489,0,0,443,1533,0,0,581,1603,-131,-29,545,1752,0,0,1.85,5.94,444,1426,1.25,1.41,300,338
653,1489,0,0,443,1533,0,0,525,1606,-56,3,545,1752,0,0,1.84,5.98,442,1435,0.93,1.41,223,338
653,1489,0,0,443,1533,0,0,525,1606,0,0,414,1676,-131,-76,1.83,5.92,439,1421,0.92,1.4,221,336
427,1456,-226,-33,443,1533,0,0,525,1606,0,0,414,1676,0,0,1.67,5.86,401,1406,1.09,1.27,262,305
427,1456,0,0,443,1533,0,0,525,1606,0,0,430,1623,16,-53,1.65,5.89,396,1414,0.8,1.2,192,288
427,1456,0,0,457,1358,14,-175,525,1606,0,0,430,1623,0,0,1.72,5.8,413,1392,0.73,1.04,175,250
609,1388,182,-68,457,1358,0,0,539,1568,14,-38,430,1623,0,0,1.73,5.5,415,1320,0.55,1.34,132,322
609,1388,0,0,457,1358,0,0,539,1568,0,0,391,1488,-39,-135,1.82,5.46,437,1310,0.77,1.33,185,319
576,1268,-33,-120,457,1358,0,0,539,1568,0,0,391,1488,0,0,1.59,5.35,382,1284,0.99,1.31,238,314
576,1268,0,0,495,1269,38,-89,539,1568,0,0,391,1488,0,0,1.6,5.25,384,1260,0.85,1.37,204,329
576,1268,0,0,495,1269,0,0,539,1568,0,0,506,1458,115,-30,1.59,5.28,382,1267,0.83,1.36,199,326
